content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
"打开紫罗兰的正确方式
第一步 吹
第二步 加入b站大会员
第三步 开启1080
第四步 用手机看一遍
第五步 用大屏电脑或电视看一遍
第六步 与圣剑使的禁咒咏唱比较
第七步 吹",2018-01-11 06:59:18,40968,168,CicioGiselle,6,0,18168483,1,「爱」与自动手记人偶,紫罗兰永恒花园,"b
 1080",b 1080
你不说我都忘记1080P了,2018-01-11 09:46:52,245,0,一生愛你一世,6,1,18168483,1,「爱」与自动手记人偶,紫罗兰永恒花园,1080P,1080P
"@TimeCompass，试着对阁下发的信件的英文字母版进行了解读，发现字面除了人名及德语、英语和日语罗马音的字段，还有如Enchaînés这样的可能是去了小标的法语单词。（以及其他被谷歌翻译检测出来的奇奇怪怪的语言[小电视_无语]）
以下是本人尽力提取出的可辨别单词：1.人名：Gilbert Bougainvilla（基尔伯特·布甘比利亚），Hodgine（霍金斯，不知为何少了s），Tiffany Evergarden（蒂芙尼 伊芙加登），Cattleya Baudelaire（嘉德丽雅·波德莱尔），Violet Evergarden（	
薇尔莉特·伊芙加登）。
2.德语：Leidenschaftlich（意思是狂热的，酷爱的，这里估计指动画中的国家-莱丁谢夫特里希），Leiden（莱顿，现实存在的城市名），nun（意为现在）。
3.法语：Enchaînés（链接，上锁链的）。
4.荷兰语：kon（可能）。
5.日语（可能）（罗马音片段）：mikura，Hika，eka，hehuku，Ukagui，gihu等
6.英语：array（数组，阵列；排列）
列完发现除了人名地名，基本上无法辨析，怀疑是将音译后凭感觉瞎打的。[2233娘_无言]
根据动画及小说剧情，以及个人开脑洞补正后的信件原文如下：

敬启
尊敬的基尔伯特·布甘比利亚少佐

已经有5个月未收到你的消息
霍金斯中佐已将我带到莱丁谢夫特里希的首都莱顿市
现被蒂芙尼 伊芙加登夫人收养
伊芙加登家待我不错
我打算开始在CH邮局从事自动书记人偶的工作
嘉德丽雅·波德莱尔小姐指导我进行打字机的练习
练习已取得很大进展
希望尽快收到你的回信。
伊芙利特 伊芙加登

如有错误，欢迎各位大佬指出并斧正。",2018-01-18 23:40:54,39448,502,蓑菈,6,0,18415142,2,回不来了,紫罗兰永恒花园,"TimeCompassEnchans
1Gilbert BougainvillaHodginesTiffany Evergarden Cattleya BaudelaireViolet Evergarden	

2LeidenschaftlichLeidennun
3Enchans
4kon
5mikuraHikaekahehukuUkaguigihu
6array






5

 

CH",TimeCompassEnchans 1Gilbert BougainvillaHodginesTiffany Evergarden Cattleya BaudelaireViolet Evergarden 2LeidenschaftlichLeidennun 3Enchans 4kon 5mikuraHikaekahehukuUkaguigihu 6array 5 CH
希望有dalao可以帮我指出错误，在下正规学习过的只有英语和德语，日语自学中，担不起紫学军dalao的称号。若谁有片段中罗马音和其他不明单词的解读请与我联系，谢谢。,2018-01-19 10:03:26,501,0,蓑菈,6,1,18415142,2,回不来了,紫罗兰永恒花园,dalaodalao,dalaodalao
"我用谷歌翻译试了一下。。。 Ukirru（Ukeru-&gt;受ける,接收？）
array做动词有部署的意思， Yaccu Posuk感觉像是俄语？
其中有两个非常长的词ruhhuquiciqap， ruhhuquicinmuhi 同有ruhhuqui前缀，不知道是不是个合成词。Ikunagu Qukahhagupunuiciq这两个词都是首字母大写，，，不知道啥意思。。。
yoqqanruq这个词重复出现了两次，谷歌识别是乌兹别克语pleasure的意思。。。
以维尔莉特直白且一阵见血的写作手法，她应该不怎么用主语。。。所以每句话第一个词应该是个动词？",2018-01-19 15:14:20,291,0,syshwh,6,1,18415142,2,回不来了,紫罗兰永恒花园,"UkirruUkerugt
array Yaccu Posuk
ruhhuquiciqap ruhhuquicinmuhi ruhhuquiIkunagu Qukahhagupunuiciq
yoqqanruqpleasure",UkirruUkerugt array Yaccu Posuk ruhhuquiciqap ruhhuquicinmuhi ruhhuquiIkunagu Qukahhagupunuiciq yoqqanruqpleasure
回复 @syshwh :感谢大佬，首先原文中已经识别的词中已经有放在句首的名词，开头全是动词这点无法成立。至于俄语，Yaccu Posuk用俄语词典查不到。array若用动词含义，原文第三句意思可能会变成“已经部署在莱顿市”，感觉会更符合薇尔莉特的性格，在下之后会改。ruhhuquiciqap， ruhhuquicinmuhi确实感觉像合成词，但前面是拉丁文，后面马来语着实难以解读(╯°口°)╯(┴—┴）。Ikunagu，Qukahhagupunuiciq已经考虑德语的名词首字母大写，但德语中没这两个词，正是如此我才把Ikunagu归类为罗马音。yoqqanruq的pleasure的含义我之前确实不知道，但带入后鉴于薇尔莉特缺乏感情的特点，感觉有点不符合角色。以上是在下的观点。,2018-01-19 22:44:03,184,0,蓑菈,6,1,18415142,2,回不来了,紫罗兰永恒花园,syshwh Yaccu Posukarray“”ruhhuquiciqap ruhhuquicinmuhiIkunaguQukahhagupunuiciqIkunaguyoqqanruqpleasure,syshwh Yaccu Posukarray “ ” ruhhuquiciqap ruhhuquicinmuhiIkunaguQukahhagupunuiciqIkunaguyoqqanruqpleasure
"孩子对父亲说：”您送我去读书是为了什么？“
父亲答：“我让你读书，就是为了在看1080P京紫的时候，由衷地感叹‘光影灵动细腻，碧水波光粼粼’，而不是说：",2018-01-18 18:58:32,23580,174,已是黎明,6,0,18415142,2,回不来了,紫罗兰永恒花园,"”“
“1080P‘’",” “ “ 1080P ‘ ’
回复 @暮光a宇宙 :貌似只是因为lex在第一集的评论“啊，这光！啊，这水！”所以有人跟风刷而已吧╮(￣▽￣)╭,2018-01-18 23:48:35,585,0,伟大的小逗比,6,1,18415142,2,回不来了,紫罗兰永恒花园,a lex“”,a lex “ ”
"对前三集的一些背景和细节的补充
①莱顿名称取自荷兰的西部城市，而地理原型取自意大利著名的热那亚港。在剧中莱登是莱登沙弗特里希，是一个独处南部的军事强国的首都，也是本次大陆战争中的西南国家联盟的重要支柱。
最近这场大陆战争的起因，是大陆北部的国家向南部发动入侵，意在夺取后者的领土。在很多时候，大陆南北的国家都通过商业贸易以及服务业与对方交流，但北部缺少自然资源，过度的依赖与南方的经济往来。南方察觉到这一点后，便开始缓慢的提高物价。当北方要求把物价稳定在一个可接受的水准时，南方却威胁要断绝贸易往来。通过经济来控制对手，这招南方是屡试不爽。而气急败坏的北方各国，悍然发动了对南方的战争，在北方各国的协同作战下，南部节节败退。如果事情仅仅是南北冲突的话，就不会那么复杂。让一切变得混乱得不可收拾的原因，是东西部大国间爆发的宗教战争。原本东部与西部两国，是一个统一的国家，拥有同一宗教，信仰同一个神。然而他们各自对于教义的崇拜方式和解读出现了差异，因此他们便分裂为东西两国。尽管曾经是一个国家，但西部选择与南部联合，而东部则与北部建立了强大的同盟，并且大力支持北部对南部的入侵。东-北联军要求开放重新签订与南方的贸易协定，并且要夺取所有西部的宗教圣地。而西-南联盟则要求对方为自己的侵略行径付出代价，并坚决表示要抵抗到底。因此，整个大陆弥漫着战火的身影。
②关于少佐和薇尔莉特初次见面
原作中薇尔莉特是在一个荒岛上被基尔伯特的长兄发现的，而京阿尼剧情中是在东北战役中捡来的，一个来历不明且没有感情的战争兵器。长兄是想把一个自己根本控制不了的生物拋给弟弟，也正是因为这个原因，他才那么热情的大老远跑过来庆贺弟弟的升职。
③关于第二集末尾的花
中文常见名为鸭跖草，在日本因为早期用作着色，因着色之“着”，日文读“tsuki”，与“月”同音。故别名为月草，也叫露草。《万叶集》中有一首和歌：“月草に 衣は摺らむ 朝露に 濡れてののちは うつろひぬとも”。以露草之色容易消褪比喻易变的人心，与朝露般无法长久的恋情。
喜欢的小伙伴点下赞啦，送我上热评谢谢~想交流或参与京紫相关小活动的请看签名~",2018-01-25 11:54:57,25891,278,bili_1383159,6,0,18679531,3,希望你成为出色的自动手记人偶,紫罗兰永恒花园,“”“tsuki”“”“    ”,“ ” “ tsuki ” “ ” “ ”
"①自动书记人偶
从情书到道歉信，帮助客人将心声转化为书信的人被称作“自动书记人偶”。人们亲切的称呼她们为“doll”，这一名称的由来是在打字机前的少女就像洋娃娃。大战结束后，自动书记人偶的需求量大大提高。之后，自动书记人偶也成为了代写书信服务的代称，即邮政公司所开展的为客户代写书信以传递客户想法的服务。

②薇尔莉特的机械手臂
由亚德曼银（与漫威宇宙中的亚德曼金属同名）制成。指尖使用比其他部位更加硬质的机械制成，手指的关节部分也被涂饰得很漂亮。使用的是兼具实用性的品牌，由艾斯塔克公司制造，耐久度也很高，能够完成以人类体质无法达成的动作和力量。

③薇尔莉特使用的打字机
原型是由美国公司Underwood Typewriter Company于20世纪40年代生产的UNDERWOOD 4-BANK型号手提式便携打字机。

④本集花语
鸢尾花：中文名来自于它的花瓣像鸢的尾巴。有说法是这种植物的名字是由上帝的信使联接地球和其他世界的彩虹而来的，其属名Iris即为希腊语“彩虹”之意，喻指花色丰富。
鸢尾爱丽丝花语：好消息、想念你、爱的使者

喜欢的小伙伴点下赞啦，送我上热评谢谢~想交流或参与京紫相关小活动的请看签名~",2018-02-01 10:32:18,25344,176,bili_1383159,6,0,18968396,4,你将不再是道具 而是成为人如其名的人,紫罗兰永恒花园,"“”“doll”





Underwood Typewriter Company2040UNDERWOOD 4BANK


Iris“”",“ ” “ doll ” Underwood Typewriter Company2040UNDERWOOD 4BANK Iris “ ”
