content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score,clean_content,segmented
这就是天才吗。//最近在做一个关于解离的短片卡住了，刚好看到了这个片子，真是令人焦虑啊。缓了一天来说说我的想法。在叙述上，我看到了片子的每个部分都被 控制/组织 地异常紧密—— 符号/信息/技法 被极为系统地控制，形成了一个紧密相扣的意义结构网络，文本由此产生了复杂且集中的意义——避免了意义的无限增殖，让观众的体验集中在一个非常紧凑且丰富的文本空间内。//另一个方面是在戏剧性上，片子真劲啊，就是似乎没有那么深沉的叙事魅力。//还有对不同 屏幕空间/Frame 的使用，把多种时空融合在了一起，某种程度上挺VR的，有意思。//先这么多，想起来再写。,9,神作,2026-4-6 12:11,程依捏,839,蓝色恐惧,13,8.7,Frame VR,Frame VR
不得不惊叹于今敏大师的导演水平，无法想象这是大师的处女作，但是确实是我个人的扭曲心理，我一直认为顶尖的作品必须有深刻的内涵，而Perfect Blue没有给我心灵上的触动与思考。,9,神作,2026-3-25 03:02,KesO,839,蓝色恐惧,13,8.7,Perfect Blue,Perfect Blue
往昔所造诸恶业，皆由无始贪嗔痴。现实与幻觉的边界消融、底层人物身份破碎与重构、被异视线凝视下的女性生存困境……今敏出道即巅峰，用着他炉火纯青的Match Cut武林秘籍诱导观众失去基本判断力，在荧幕中模拟最真实的精神分裂，也是对日本工业偶像流水线的赤裸批判。和《东京教父》的温暖写实完全相反，《未麻》的镜头是冰冷、压迫、充满侵略性的，是狭小、窒息、被窥视的。影片动线由现实、戏中戏、幻觉、网络几层结构完全缠绕，今敏给予观众最真实的代入感，让其随着未麻的视角一起“发疯”，也是为了强调影片现代性精神危机和女性身份符号异化的内核。鱼缸里的鱼就是未麻最脆弱的本我，结尾未麻坐在车里对着后视镜微笑说道“我可是真的哦”，这句话也是今敏透过未麻之口告诉荧幕外的每一位“未麻”：我承认我破碎过，我拒绝被定义，我杀死了过去的自己。带着这些碎片，我终于成为了崭新的“我”。,9,神作,2026-3-3 15:08,平丘寻冬,839,蓝色恐惧,13,8.7,Match Cut“”“”“”“”,Match Cut “ ” “ ” “ ” “ ”
一半以上时间挡住画面只看字幕……好在Internet要素古早，画面也没有特别猎奇。,6,还行,2026-2-28 14:29,jerryatbangumi,839,蓝色恐惧,13,8.7,Internet,Internet
"悬疑设置和剧情都很不错，氛围十分压抑，看完总觉得还缺点什么（？
感觉结局不够bad end（？",9,神作,2026-2-22 09:17,yzhanglp,839,蓝色恐惧,13,8.7,bad end,bad end
只看了一遍，表面剧情啥的差不多明白了。大佬们搞的深层分析啥的是没看出来。但是不得不说不涉及深层表象和精神分析的前提下，perfect blue还是一部很成功的悬疑作品。虚实结合的叙事手段也是今敏一贯的强项，今敏不愧是分镜大师。,9,神作,2026-2-19 12:01,現実アウトサイダー,839,蓝色恐惧,13,8.7,perfect blue,perfect blue
后半段虚实交错展开的桥段令人惊艳配上艺术的分镜，perfect!,9,神作,2026-2-18 23:34,御坂美琴,839,蓝色恐惧,13,8.7,perfect,perfect
【S-】三刷，这次观感奇佳。只能说本作至少得看两次，知道留美是大Boss前很多片段都看不懂。短短80分钟，把悬疑惊悚、主体分裂、转型困境、性别凝视结合得浑然天成。场景前后照应，台词话里有话，叙述误导和反转也震撼人心。信息密度极大，往往一语双关乃至三关：“偶像未麻”有时是女主撕裂的过去，有时是留美的人格，有时是私生饭的妄想；强奸戏同时指向演戏本身、对未麻的心灵伤害和留美心中被侵犯的神像……如此数不胜数。后期的梦中梦与记忆断片，也生动地模拟了高压下人的主观视角，看不懂才是看懂了。制作比较贫瘠，但恰恰这种“小家子气”和“渣画质”契合了本作的氛围。只能说在有限的篇幅内把剧情演绎到了极致，主题还颇具现实意义，实在佩服今敏的天才。,8,力荐,2026-1-30 12:55,提米,839,蓝色恐惧,13,8.7,SBoss80“”“”“”,SBoss80 “ ” “ ” “ ”
剧情是真的紧凑，反转是真的没想到。制作非常好，到底是真是假，我感觉最后半个小时我都已经被代入进去不知真假了，不愧是今敏和丸山正雄的MADHOUSE，这部片子把剧情的悬疑完全表现给了观众。这就是经过沉淀的老东西吗，有点意思。因为对过去的日本未做了解也不感兴趣不想去了解，但我确实在这部片里看到了社会的病态麻木和令人作呕，作品真是淋漓尽致地展现了麻木社会的压抑和恐怖,0,未评分,2026-1-27 17:59,珂丶Nota,839,蓝色恐惧,13,8.7,MADHOUSE,MADHOUSE
梦与现实交替叙事部分相当厉害，顺便gachi真哈人,8,力荐,2025-12-30 22:46,此世全部之咸,839,蓝色恐惧,13,8.7,gachi,gachi
madhouse的作画真是顶中顶，就是可惜有点没看懂，感觉还得看拉片,9,神作,2025-12-26 14:19,星の下の記憶,839,蓝色恐惧,13,8.7,madhouse,madhouse
第一次看完全没看懂，但依然能感受到这是一部神作。这次重刷，一方面惊叹于今敏对蒙太奇出神入化的运用，另一方面也对故事有了更深的理解。个人理解电影存在三个世界，一个是未麻的心理世界，一个是电影内主世界，一个是Double Bind世界。电影优秀的地方就在于通过镜头的安排来使得3个世界的界限逐渐模糊，主世界发生的案件与DB的台词投射到未麻的心理世界产生幻觉与心理的对峙——永远清纯的偶像未麻与因现实而妥协“堕落”的演员未麻。,10,超神作,2025-12-11 14:34,おやすみ,839,蓝色恐惧,13,8.7,Double Bind3DB“”,Double Bind3DB “ ”
很难想象这是1998年的作品以及今敏的处女作！太厉害了，我看完都头皮发麻了，就像是得了精神分裂一样分不清什么是现实什么是梦境了，电影解析也看了很多，不同说法都有。我是主张整部电影都是女主的精神世界观点，跟拍摄的双重障碍电影完全可以互补剧情，戏中戏中戏，结局虽然内田留美都KO了，虽然结局说“我才是真的”，但是这也许是女主结束了挣扎最后幻想战胜了本我而说的呢？,9,神作,2025-8-23 17:45,还在看动漫的欧巴桑 ...,839,蓝色恐惧,13,8.7,1998KO“”,1998KO “ ”
