content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score,clean_content,segmented
第二季不论是制作 角色互动以及氛围我认为都是优于第一季的制作水准的 至于第三季 露营什么时候出过第三季？群像露营时带给的氛围以及欢乐固然很好 但是在深夜观看solo的感觉才是最神的 尤其喜欢看凛solo的时候 独自露营的氛围 以及与其他角色在手机上信息的距离感都让我为此感到治愈  在我主观上露营绝对优于kon的 我是露营孝子 这部唯一的缺点就是我没有钱去露营,10,超神作,2026-3-22 22:50,sh1r,262897,摇曳露营△ 第二季,89,8.3,solo solo    kon,solo solo kon
【10】空气系日常神作，第二季的单元回更加舒适，芝麻凛与抚子太可爱了。还有可爱犬妹seyana,10,超神作,2026-3-15 16:39,PlumTT,262897,摇曳露营△ 第二季,89,8.3,10seyana,10seyana
GOGOGO，出发咯 #2026.2.21,0,未评分,2026-2-27 22:34,maoHa1,262897,摇曳露营△ 第二季,89,8.3,GOGOGO 2026221,GOGOGO 2026221
yuru camp,9,神作,2026-2-17 18:45,loveanime,262897,摇曳露营△ 第二季,89,8.3,yuru camp,yuru camp
很适合下班之后整个人放空来几集，非常悠闲清新的作品。ep6几个人的操作有点令人窒息，真的是离出事就差一点，anyway没事就好。另外，我认为本作不算典型的芳文作品，轻百要素很淡，更侧重于描绘路途风景和露营经历，对女主之间的关系并没有更深的着墨。,7,推荐,2026-1-6 01:28,SkyRainWind,262897,摇曳露营△ 第二季,89,8.3,ep6anyway,ep6anyway
2022.2.26一刷——2025.11.13二刷。“Just always smile and seize the day！”只要是美少女无论她们做什么我都会看的，这次的二刷也给我带来了新的体验，正所谓日常动画常看常新，因为碎片化的剧情很少能给人留下记忆点。但这份治愈的心情在看摇曳露营的时候一直都能感受得到，大概这种舒缓的节奏搭配合适的主题能够给人带来一种极佳的观看体验，画风也很吸引人，清新治愈，配乐不错，ed更是几乎不跳。我一直觉得芝麻凛这个角色真的特别戳我，很有共鸣，她喜欢独处，适应自己的生活节奏，同时也和伙伴保持关系，这是露营的极乐之道。或许摇曳露营缺了以上哪一项，给人带来的治愈感就会大打折扣，但正因它各方面都很优秀，我才会如此喜欢这部动画。,9,神作,2025-11-13 23:31,沢近愛理,262897,摇曳露营△ 第二季,89,8.3,202222620251113“Just always smile and seize the day”ed,202222620251113 “ Just always smile and seize the day ” ed
第400部看过（ep8做的真不错）,8,力荐,2025-11-9 00:41,寒枝,262897,摇曳露营△ 第二季,89,8.3,400ep8,400ep8
2025.8-1030 0008 ep13 完,9,神作,2025-10-30 00:08,hy233,262897,摇曳露营△ 第二季,89,8.3,202581030 0008 ep13,202581030 0008 ep13
"7下→后半7中 二刷
EP7-8个人露营，10-13集体伊豆之旅 /
日常的治愈感、人与自然的互动、角色之间的羁绊
从个人露营的“静寂”到集体旅行的“共鸣”
独自享受露营乐趣的志摩凛，与在同伴相伴中逐渐体会露营温暖的各务原抚子。两种露营方式时而平行，时而交织，缓缓铺陈开来。
晨雾笼罩的湖面、透过树影的阳光、摇曳的篝火，都仿佛被赋予了呼吸。还有搭帐篷的声响、水壶沸腾的鸣音、以及渐深的寂静。
众人众人共度的冬日露营。共享的时光与风景，化作无可替代的回忆。如同这个季节般，略带清冷却又沁人心脾的温暖。",7,推荐,2025-10-12 11:13,にじけん@天の芸,262897,摇曳露营△ 第二季,89,8.3,"77 
EP781013 

“”“”",77 EP781013 “ ” “ ”
惬意，睡前看两集十分轻松，最后落足于旅行结束时的寂寞是很不错的想法。甚至还能听到tomoyo，简直是至福(bgm38)//犬子siki，seyana～,8,力荐,2025-7-24 10:34,Melody,262897,摇曳露营△ 第二季,89,8.3,tomoyobgm38sikiseyana,tomoyobgm38sikiseyana
