content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
不理解也不打算尊重，看了下高分的吐槽，全在说神作，神在哪儿？在原后面吗？都说神作却没一个人解释神的点在哪里，反而有很多人说看不懂，但还是给了高分。据说是原作25-26集的真结局，25集还好观感还行，剧情也算勉强能理解，但是26集又回到原作那b意识流了，真无语，全程看不懂想表达什么。全程无脑加猎奇卖肉画面属实低俗，令人恶心，且没有意义。可能是eva作为很多人的启蒙番，在当年的环境下比较容易让人产生共鸣，我个人是无法理解，有些好作值得反复回味，但对我来说那个“好作”绝对不是eva。,5,不过不失,12h 58m  ago,DoHowie,6049,新世纪福音战士剧场版 Air/真心为你,7,8.9
我真的get不到,7,推荐,1d 11h ago,是鸭不是nga,6049,新世纪福音战士剧场版 Air/真心为你,7,8.9
"我对老动画的质感总有感性加成
所以至今仍未看新剧场版
以及
我喜欢明日香",10,超神作,2026-4-8 13:23,陈蔚蓝cwleste,6049,新世纪福音战士剧场版 Air/真心为你,7,8.9
我浅薄的文字或许概括不了看完之后的感受，也很难评价这一部到底是虚有其表还是名副其实。我感受到的只有震撼，震撼于演出的想象力如此天马行空，震撼于剧情的超脱现实又隐喻现实，震撼于庵野秀明能够把对人生，对世界的态度浓缩到动画中搬上荧幕。碇真嗣作为30年来被很多人冠以“懦弱”“逃避”标签的角色，恰恰也代表了包括我在内的很多人内心真实的自己，明知自己有很多瑕疵不足，也是需要学会接纳自己，重新回到生活中去，只有自己才能决定自己的人生如何度过。,9,神作,2026-4-7 17:31,幻琛2333,6049,新世纪福音战士剧场版 Air/真心为你,7,8.9
挺不錯的，結尾蠻正向的,9,神作,2026-4-6 22:01,紅莉栖,6049,新世纪福音战士剧场版 Air/真心为你,7,8.9
【S-】,8,力荐,2026-4-6 19:32,Light,6049,新世纪福音战士剧场版 Air/真心为你,7,8.9
梦想的起点,10,超神作,2026-4-6 17:49,VIO02,6049,新世纪福音战士剧场版 Air/真心为你,7,8.9
[8] 2026.4.5完成,8,力荐,2026-4-6 05:38,MJUNM（闭关中）,6049,新世纪福音战士剧场版 Air/真心为你,7,8.9
极其惊艳的作品，旧剧场放到现在也同样优秀,0,未评分,2026-4-5 20:34,Daiba_Nana,6049,新世纪福音战士剧场版 Air/真心为你,7,8.9
补全并升华了动画,9,神作,2026-4-5 18:19,Ilya,6049,新世纪福音战士剧场版 Air/真心为你,7,8.9
Eva的成功旧剧功不可没，明显比tv好看好多，里面的有些内容，补完之后回想还是很深奥,9,神作,2026-4-5 18:13,渚酱真可爱,6049,新世纪福音战士剧场版 Air/真心为你,7,8.9
"感觉作为老eva的完结篇是一个配得上TV版前半部分，中后半部分质量的结尾,是一个比较好的end,但是多少让人感觉有一点故弄玄虚,亦或是深度太多,理解起来感觉有门槛,不过演出看着还是蛮爽的。",7,推荐,2026-4-5 13:57,the question,6049,新世纪福音战士剧场版 Air/真心为你,7,8.9
艺术和思想表达都很牛逼，但是过于意识流让人看不懂，我不喜欢这种故弄玄虚的感觉 8.5,8,力荐,2026-4-5 02:02,SunXTDei,6049,新世纪福音战士剧场版 Air/真心为你,7,8.9
本质上就是TV动画的结尾部分，很喜欢里面一些穿插现实镜头的表现手法。,9,神作,2026-4-5 01:56,Lipo,6049,新世纪福音战士剧场版 Air/真心为你,7,8.9
补标，9+，最喜欢的结尾,10,超神作,2026-4-4 16:01,Friedrich,6049,新世纪福音战士剧场版 Air/真心为你,7,8.9
eva最好的结局，综合tv可以给到10分，带来了无与伦比的文化影响，直面了时代里青年人的困境和痛苦，现在依然有恒久的影响力。不过这个给10的话eva本篇就只能给9了，结尾仓促，略有不足。,10,超神作,2026-4-4 02:29,yifei,6049,新世纪福音战士剧场版 Air/真心为你,7,8.9
本质还是小鬼闹麻，闹的确实挺有冲击力的，性压抑环节也成功让我感到不适，本质神作来的,7,推荐,2026-4-3 20:52,什么洛澧,6049,新世纪福音战士剧场版 Air/真心为你,7,8.9
实至名归,9,神作,2026-4-3 18:43,四方茉莉,6049,新世纪福音战士剧场版 Air/真心为你,7,8.9
比起伤害自己，伤害他人会更让自己心痛,9,神作,2026-4-3 15:51,拾伍,6049,新世纪福音战士剧场版 Air/真心为你,7,8.9
这个歌还行，姑且高一点吧,4,较差,2026-3-30 05:35,槭翼深碍,6049,新世纪福音战士剧场版 Air/真心为你,7,8.9
依旧看不懂一点(bgm38),7,推荐,2026-3-28 21:43,夢咲歌恵,6049,新世纪福音战士剧场版 Air/真心为你,7,8.9
太震撼了,9,神作,2026-3-28 14:40,今天的世界也很和平 ...,6049,新世纪福音战士剧场版 Air/真心为你,7,8.9
高了,1,不忍直视,2026-3-28 08:21,kjmw,6049,新世纪福音战士剧场版 Air/真心为你,7,8.9
伟大无需多言,9,神作,2026-3-28 02:18,EricFleeman,6049,新世纪福音战士剧场版 Air/真心为你,7,8.9
eva系列最高的山，最长的河。,9,神作,2026-3-27 19:22,ELPsyCuCumBer,6049,新世纪福音战士剧场版 Air/真心为你,7,8.9
【8+】,8,力荐,2026-3-23 20:53,大大,6049,新世纪福音战士剧场版 Air/真心为你,7,8.9
记忆深刻,8,力荐,2026-3-21 14:24,nijia,6049,新世纪福音战士剧场版 Air/真心为你,7,8.9
其实这部更适合叫死与新生，它展示的生死观，或者探寻的方向即出于外因而徘徊于生死边界时爆发出的强烈求生本能。真嗣掐明日香的动作就是这样一种具象，一个解释性的注脚。不过仍然喜欢剧集版的结局，正是因为它并没有一个实际的结局，永远滞留在「未完待续」的前进状态之中。《真心为你》的实际效果和真嗣掐明日香这样一个具体的动作一样，它展示「补完」的结果，展示「流」之尽头，却不可避免地成为了一个注解版的存在。,9,神作,2026-3-18 16:22,thunder,6049,新世纪福音战士剧场版 Air/真心为你,7,8.9
tv版是前两年看的了，当时也看得迷迷糊糊，这次事先做了很多功课，把eva世界观、剧情的前因后果、想表达的主旨全都学习了一下，再来看的传说中的“真心为你”，很遗憾还是没看懂，山猪吃不了细糠TuT  印象最深刻的反倒是美里死前说“早知道会这样就该听明日香的，把地毯换掉好了。”非常心疼美里姐姐,8,力荐,2026-3-18 14:50,洛汀,6049,新世纪福音战士剧场版 Air/真心为你,7,8.9
比TV好多了，这才是神作,9,神作,2026-3-18 13:19,岚山,6049,新世纪福音战士剧场版 Air/真心为你,7,8.9
旧版虽然有点压抑，但是真是把没每个角色都塑造的很立体，把每个人心里的压抑和尖锐的自我剖析都表现出来了,9,神作,2026-3-16 22:08,h_h,6049,新世纪福音战士剧场版 Air/真心为你,7,8.9
其实非常佩服敢于贯彻自己艺术的人,7,推荐,2026-3-16 16:49,Re_Char,6049,新世纪福音战士剧场版 Air/真心为你,7,8.9
哦美得多,10,超神作,2026-3-11 21:16,格拉,6049,新世纪福音战士剧场版 Air/真心为你,7,8.9
虽然不太看得懂，不过印象很深,8,力荐,2026-3-10 19:47,微笑的克蕾雅,6049,新世纪福音战士剧场版 Air/真心为你,7,8.9
"怎么说呢，这个还是得结合TV一起看，单独看的话略微有点不知所谓。但我在不同年龄阶层看它感受到的东西的确不同，震撼到我的是到35岁再观看的时候，还有额外的体悟，最近把30周年内容观看完了以后感到终于圆满。
但这个作品的后半部分画面其实无论如何还是有更优的处理方式，现在的抽象方式是可以接受，但并不完美。如果把一切都处理好大概能拿到10分吧",9,神作,2026-3-10 14:54,红A酱,6049,新世纪福音战士剧场版 Air/真心为你,7,8.9
