content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
很特别的作品,8,力荐,2h 38m  ago,0And1Story,9912,日常,49,8.5
京蜜必吃榜榜一 // 全是冷笑话，天寒地冻,7,推荐,4h 49m  ago,OrangeCat_Bangumi,9912,日常,49,8.5
博士可爱,7,推荐,21h 40m  ago,叶子,9912,日常,49,8.5
好看到爆,9,神作,2d 8h ago,泉此喵,9912,日常,49,8.5
入宅作（真入了吗？或许没入，或许大约的确入了）。对我来说应该是9+评分的作品，加一点情怀分完全可以给满。对我来说是一个如同猫和老鼠一样会想起来就随便找一集回看，然后接连看下去几集，是这样的作品。画风非常可爱，故事的想象力和画面语言的想象力都很丰富，令人惊叹。个别的故事有点拖沓，个人不是特别吃Hakase的一些纯熊孩子/卖萌剧情（但是和Nano的幕间短互动萌化了，只要不太拖节奏就好，卖萌10秒钟让人感觉这辈子值了，然而卖萌5分钟则让人感觉身体不适），三人组的剧情平均质量非常高。,10,超神作,2026-4-9 10:07,Oskar,9912,日常,49,8.5
"没有太多的感触
时隔许久之后只要看到这部作品就会有一丝暖意
或许这就是对于这部作品最好的评价了",10,超神作,2026-4-8 13:49,陈蔚蓝cwleste,9912,日常,49,8.5
"我先看的city，不出所料开山鼻祖同样神人。op和ed依旧好听。核爆好像挺常见的，哈哈哈哈哈哈，是真的核爆
4: 麻衣是真正的概念神，考试那段给我笑拉了；小祐感觉是个活泼笨笨人设，画面的表现力太强了；笹原好超标（算是city里威廉泰尔的地位），太“雅”了；本集是名言出处哦，就是笹原嘴里冒出来的：我们一日日所度过的日常，实际上可能是接连不断发生的奇迹。但凡放在别的番里我都会觉得太突兀了，突然说出这句话，在这里我只能说这很日常，哈哈哈哈哈哈",10,超神作,2026-4-7 19:07,Bingo,9912,日常,49,8.5
从被安利到如今正式补完已经八年了，有点后悔没有更早看《日常》，又觉得现在能接触到它也是一种幸运。整个补番过程我的内心都充满了幸福感。每一段琐碎又特别的日常都很美好，每一个角色我都很喜欢……,10,超神作,2026-4-6 14:52,仿生纱,9912,日常,49,8.5
一部很创作者情怀的作品，就好像在聊天，能感受到对动画和对生活热爱。日常其实是超日常，但在搞笑的情节中有感动，有奇迹，有闪光,10,超神作,2026-4-6 03:04,Kenneth,9912,日常,49,8.5
极其惊艳的作品，京都动画的巅峰,9,神作,2026-4-5 21:06,Daiba_Nana,9912,日常,49,8.5
能不能再出24集我求你了，可以在任何场景下不用动脑子观看的好动画，你真的可以在任何时候点开任何一集,10,超神作,2026-4-4 00:09,秋笙声,9912,日常,49,8.5
作为一部轻主线且很难从中归纳套路的搞笑番，取得如此成功的相当大原因在于作者通过对于生活的敏锐观察，创造出一系列段子，加之京阿尼的大胆演出，呈现出的效果俘虏了当时——以及现在的观众内心。无疑是京阿尼夸张演出的巅峰——不会再有第二部充满实验性的前卫演出手法却又在所有其它方面处理地异常成熟的作品的。具体到每一条线的剧情构思精巧草灰蛇线，前半段分别从冬云研究所三人组和校园三人组的视角出发，描述了她们轻松愉快的日常生活；后半段伏笔回收，联系发生，经过二十多集日常的积攒，将希望传达的理念深入人心。后半段若没有前半段的铺垫将如同小镇日常一样略显仓促，前半段没有后半段的升华、回收又感觉虎头蛇尾，京阿尼完美在其中把握了平衡，无厘头搞笑这个领域无出其右且对后世影响深远——比如女高中生的虚度常主角三人组人设几乎拷贝了日常的主角三人组。,8,力荐,2026-4-3 23:38,Tiger1218,9912,日常,49,8.5
和它的名字一样，非常有趣哟,8,力荐,2026-4-3 08:18,凉宫春日,9912,日常,49,8.5
奇迹总是存在的,8,力荐,2026-4-2 22:18,xung,9912,日常,49,8.5
